j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
1,        ,          IVAN MOLANO,NA,        Las Pulgas,Caturra,"Planadas, Tolima","2,070 masl","July, 2019",Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/las-pulgas,Sey Coffee," a satisfying subtle acidity,  chocolate mouthfeel,  rounded out with red fruit,  soft, beautiful"
2,        ,          UGO BEGNE,NA,        Yabitu Koba,JARC Selections & Ethiopian Landrace,"Uraga, Guji","2,160 - 2,310 masl","January, 2020",Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/yabitu-koba,Sey Coffee," jasmine-like florals,  layered with ripe watermelon,  singing acidity, cup"
3,        ,          GUDUBA WET MILL,NA,        Benti Nenka,Ethiopian Landrace,"Hambela Wamena, Guji",1925 - 2110 masl,"October, 2019",Harvested at peak ripeness. Floated. Depulped. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/benti-nenka,Sey Coffee," excellent complexity of fruits—ripe peach,  melon—and a long vanilla finish,  sings with bergamot acidity,  star fruit, Guji"
4,        ,          SUKE,NA,        SEY x Street Dreams,Ethiopian Landrace,"Uraga, Guji","1,900 - 2,150 masl",October 2019 - January 2020,Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/suke,Sey Coffee," crisp acidity while ranging in flavor from melon,  stone fruit to bright tropical fruits throughout, bright"
5,        ,          HEZA,NA,        Gitwe Hill,"Mibirizi, Red Bourbon",Heza,"1,859 - 2,098 masl","April 6, 10, 12, and 15, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 12-18 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/gitwe-hill,Sey Coffee," black tea aromatics with a good depth of sweetness,  citrus-like acidity,  ripe tropical fruit, sparkling"
6,        ,          ENRIQUE MERINO,NA,        Lugmapata,Sidra,Pallatanga,"1,700 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra,Sey Coffee," a whisper of delicate florals,  almost wine-like acidity,  red berries, heavy"
7,        ,          Erick Bravo,NA,"        FINCA EL CHAFEROTE, LOT #2",Pink Bourbon,"San Agustín, Huila","1,600 masl","July, 2022",Hand picked at peak ripeness every three weeks. Floated to further remove defects. Held in cherry to ferment for 48 hours. Depulped. Dry fermented for an additional 36 hours. Washed. Dried on raised beds until moisture content reaches ~10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/erick-bravo-2022,Sey Coffee," berries,  ripe stone fruit, lemonade"
8,        ,          Danche,NA,        Lot #8,Ethiopian Landrace,"Gedeb, Gedeo","2,200 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Fermented underwater for 36 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/danche-lot-8,Sey Coffee," a lively citrus acidity,  peach,  watermelon, florals"
9,        ,          ALEJANDRO RENJIFO,NA,        Reina de Saba,Gesha,"Santa Monica, San Agustín","1,800 masl","Main; January, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-gesha,Sey Coffee," citrus oil,  fresh peach,  honeysuckle,  ripe strawberry, jasmine"
10,        ,          Mario Moreno,NA,        Piedras Amarillas,Pacas,Santa Bárbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas-pacas-2020,Sey Coffee," blackberry,  orange blossom honey, lychee"
11,        ,"          Mapendo 1,800",NA,        BUCHIRO & CHEBUMBA,SL34,"Chebumba, Kalehe, South Kivu","1,800 - 2,000 masl","June, 2022","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 12 hours, then wet fermented for an additional 24 hours. Dried on raised beds for 20 days until moisture content reaches approximately 10%.",https://www.seycoffee.com/collections/archived-coffees/products/mapendo-1-800,Sey Coffee," darker plum fruits,  rose,  subtle nuances of lemon, spices"
12,        ,          Mario Moreno,NA,        Lote Sofia,Pacas,Santa Bárbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/lote-sofia,Sey Coffee," a lively pineapple-like acidity,  grape,  molasses, sweetness"
13,        ,          Guillermo Lomas,NA,        ,Mejorado,"La Perla, Nanegal","1,160 masl","June, 2022","Hand picked at peak ripeness. Floated to further remove defects, and depulped on the day of harvest. Fermented in tile tanks for 18-24 hours. Dried for 18 days on raised beds.",https://www.seycoffee.com/collections/archived-coffees/products/guillermo-lomas,Sey Coffee," dulce de leche,  papaya,  with notes of tangerine, sweet"
14,        ,          Esayas Beriso,NA,        BUKU SAYISA,Ethiopian Landrace,"Hambela Wamena, Guji","2,350 masl","January, 2022","Harvested at peak ripeness. Hand sorted. Depulped. Wet fermented for up to 72 hours, washed in channels, and graded by density. Lower density seeds will float and are removed, leaving only the denser, higher quality, seeds which are then separated as higher grade lots. Soaked for two hours after fermentation. Dried for ten days in two centimeter layers, and hand sorted one final time.",https://www.seycoffee.com/collections/archived-coffees/products/buku-sayisa,Sey Coffee," lively,  nectarine,  ripe raspberry,  with notes of sweet peach tea, expressive"
15,        ,          The Alarcon Family,NA,        FINCA LA PALESTINA,Gesha,San José del Alto ,"1,770 masl","July, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried for 15 days on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/the-alarcon-family,Sey Coffee," citrus,  lavender,  star fruit, jasmine"
16,        ,          ENRIQUE MERINO,NA,        Lugmapata,Mejorado,Pallatanga,"1,700 masl","July - September, 2020",Hand picked at peak ripeness. Floated to further remove defects. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-mejorado-2020,Sey Coffee," aromatic coffee is almost Gesha-like in structure,  jasmine,  lemongrass,  with notes of fresh bergamot, floral"
17,        ,          Alejandro Renjifo,NA,        REINA DE SABA,Gesha,"Santa Monica, San Agustín","1,800 masl","March, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-gesha-2022,Sey Coffee," articulated acidity,  more than enough sweetness to balance it all out,  peach,  ripe berries,  star fruit, florals"
18,        ,          Dumerso,NA,        ,Ethiopian Landrace,"Gedeo, Yirgacheffe","2,200 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and seperate by density. Highest quality cherries are then hand sorted. Depulped leaving mucilage intact. Fermented for a very short time. Dried on raised beds for 4-9 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/dumerso-honey,Sey Coffee," apple blossom,  papaya,  watermelon, guava"
19,        ,          Felipe Luzon,NA,        FINCA LOS EUCALIPTOS,Mejorado,"Palanda, Zamora Chinchipe","1,600 masl","October, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Wet fermented for 60 hours. Washed. Dried on raised beds for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/felipe-luzon-1,Sey Coffee," ripe stone fruit,  strawberry, florality"
