j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
1,        Las Pulgas,        IVAN MOLANO,WASHED,        Colombia ,Caturra,"Planadas, Tolima","2,070 masl","July, 2019",Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/las-pulgas,Sey Coffee,"chocolate, red fruit, soft, beautiful"
2,        Yabitu Koba,        UGO BEGNE,WASHED,        Ethiopia,JARC Selections & Ethiopian Landrace,"Uraga, Guji","2,160 - 2,310 masl","January, 2020",Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/yabitu-koba,Sey Coffee,"jasmine, watermelon, acidity"
3,        Benti Nenka,        GUDUBA WET MILL,WASHED,        Ethiopia,Ethiopian Landrace,"Hambela Wamena, Guji",1925 - 2110 masl,"October, 2019",Harvested at peak ripeness. Floated. Depulped. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/benti-nenka,Sey Coffee,"peach, melon, vanilla, bergamot, star fruit"
4,        SEY x Street Dreams,        SUKE,WASHED,        Ethiopia,Ethiopian Landrace,"Uraga, Guji","1,900 - 2,150 masl",October 2019 - January 2020,Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/suke,Sey Coffee,"melon, stone fruit, tropical fruit"
5,        Gitwe Hill,        HEZA,WASHED,        Burundi,"Mibirizi, Red Bourbon",Heza,"1,859 - 2,098 masl","April 6, 10, 12, and 15, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 12-18 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/gitwe-hill,Sey Coffee,"black tea, citrus, tropical fruit"
6,        Lugmapata,        ENRIQUE MERINO,WASHED,        Ecuador,Sidra,Pallatanga,"1,700 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra,Sey Coffee,"florals, wine, red berries"
7,        Lot #8,        Danche,WASHED,        Ethiopia,Ethiopian Landrace,"Gedeb, Gedeo","2,200 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Fermented underwater for 36 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/danche-lot-8,Sey Coffee,"citrus, peach, watermelon, florals"
8,        Piedras Amarillas,        Mario Moreno,WASHED,        Honduras,Pacas,Santa BÃ¡rbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas-pacas-2020,Sey Coffee,"blackberry, orange blossom honey, lychee"
9,        Lote Sofia,        Mario Moreno,WASHED,        Honduras,Pacas,Santa BÃ¡rbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/lote-sofia,Sey Coffee,"pineapple, grape, molasses"
10,        Halo,        ,Washed,        Ethiopia,Ethiopian Landrace,"Gedeb, Yirgacheffe","1,900 - 2,210 masl","January, 2019",Hand picked at peak ripeness. Fermented underwater for 24-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/halo,Sey Coffee,"clean, crisp, bright"
